ID_Sujeto,Origen_Form,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Genero,politica,nivel_se,SDO_Score,NDC_Score
Suj_064,Respuestas de formulario 6,1,-1,0,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3333333333333333,-0.16666666666666663,0.3333333333333333,Hombre,5,8,3.7,4.0
Suj_065,Respuestas de formulario 6,1,-1,1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Mujer,4,5,3.0,4.0
Suj_066,Respuestas de formulario 6,1,1,1,1,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,0.16666666666666663,0.0,Mujer,4,4,2.6,5.166666666666667
Suj_067,Respuestas de formulario 6,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Hombre,3,6,1.4,5.333333333333333
Suj_068,Respuestas de formulario 6,1,-1,1,-1,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,0.5,0.5,0.0,0.0,Hombre,5,7,2.3,4.0
Suj_069,Respuestas de formulario 6,1,-1,0,-1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666663,0.16666666666666669,Mujer,4,4,2.2,5.166666666666667
Suj_072,Respuestas de formulario 6,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Hombre,2,4,1.7,5.166666666666667
Suj_073,Respuestas de formulario 6,0,0,0,0,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.0,Mujer,2,5,1.2,3.6666666666666665
Suj_074,Respuestas de formulario 6,0,0,-1,0,0.5,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,-0.16666666666666666,Mujer,4,6,1.7,3.6666666666666665
Suj_075,Respuestas de formulario 6,-1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Mujer,7,5,3.6,4.833333333333333
Suj_077,Respuestas de formulario 7,1,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,Mujer,4,9,2.1,4.0
Suj_078,Respuestas de formulario 7,-1,-1,-1,-1,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.16666666666666666,Mujer,3,7,1.8,5.166666666666667
Suj_079,Respuestas de formulario 7,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Mujer,4,7,2.4,5.166666666666667
Suj_081,Respuestas de formulario 7,1,0,-1,-1,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,Mujer,4,7,1.0,4.333333333333333
Suj_082,Respuestas de formulario 7,1,-1,-1,-1,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,Mujer,4,4,1.9,5.0
Suj_083,Respuestas de formulario 7,1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Hombre,1,4,1.0,3.6666666666666665
Suj_087,Respuestas de formulario 7,1,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,-0.16666666666666669,0.33333333333333337,Mujer,2,5,1.2,4.333333333333333
Suj_089,Respuestas de formulario 8,0,-1,-1,-1,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.16666666666666666,Mujer,5,6,3.1,5.333333333333333
Suj_090,Respuestas de formulario 8,0,0,-1,-1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,Hombre,5,6,2.4,4.666666666666667
Suj_091,Respuestas de formulario 8,-1,-1,-1,-1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.0,Mujer,3,4,2.0,4.166666666666667
