ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Categoria,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Tratamiento
Suj_039,Respuestas de formulario 3,ALM,Bloque_1,Bloque_CON,1,Opción 1,1,2.4,4.166666666666667,0,0,1,Mujer,4,3,0,0,0,1,0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.8333333333333334,0.6666666666666666,-0.3333333333333333,0.1666666666666667,CON
Suj_040,Respuestas de formulario 4,AQS,Bloque_7,Bloque_CON,1,Opción 2,0,3.8,4.833333333333333,-1,-1,-1,Hombre,6,7,2400,-1,-1,-1,-1,0.8333333333333334,0.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,-0.1666666666666666,0.0,CON
Suj_041,Respuestas de formulario 4,AQS,Bloque_7,Bloque_CON,1,Opción 2,0,1.5,4.333333333333333,0,0,0,Mujer,1,3,2400,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,CON
Suj_044,Respuestas de formulario 4,AQS,Bloque_7,Bloque_CON,1,Opción 2,0,1.4,4.833333333333333,1,1,0,Mujer,4,5,2400,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON
Suj_045,Respuestas de formulario 4,AQS,Bloque_7,Bloque_CON,1,Opción 2,0,2.8,3.6666666666666665,-1,-1,-1,Mujer,5,5,2400,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON
Suj_047,Respuestas de formulario 4,AQS,Bloque_7,Bloque_CON,1,Opción 2,0,2.3,4.833333333333333,-1,0,0,Mujer,5,6,2400,-1,0,0,0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.1666666666666666,-0.6666666666666666,CON
Suj_048,Respuestas de formulario 4,AQS,Bloque_7,Bloque_CON,1,Opción 2,0,1.2,5.0,-1,-1,-1,Mujer,4,5,2400,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON
Suj_049,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,1.7,3.8333333333333335,0,-1,-1,Mujer,4,8,2400,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_050,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,2.2,4.0,0,0,0,Hombre,1,6,2400,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_051,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 1,1,3.6,5.333333333333333,0,-1,1,Hombre,4,7,2400,0,-1,1,-1,0.1666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5,0.8333333333333334,0.5,-0.3333333333333333,0.3333333333333333,SIN
Suj_052,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,2.1,4.666666666666667,1,-1,-1,Mujer,4,4,2400,1,-1,-1,-1,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,SIN
Suj_053,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,1.1,4.166666666666667,1,-1,1,Mujer,3,2,2400,1,-1,1,-1,0.8333333333333334,0.3333333333333333,0.0,0.0,0.0,0.1666666666666666,0.5,0.3333333333333333,-0.3333333333333333,0.1666666666666666,SIN
Suj_054,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,2.3,5.5,1,-1,1,Mujer,5,7,2400,1,-1,1,-1,1.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.1666666666666667,0.1666666666666667,SIN
Suj_057,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 1,1,2.2,5.0,0,-1,0,Hombre,6,8,2400,0,-1,0,-1,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.5,0.1666666666666666,-0.3333333333333333,SIN
Suj_058,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,2.2,4.833333333333333,0,-1,-1,Mujer,5,6,2400,0,-1,-1,-1,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.1666666666666666,-0.1666666666666666,SIN
Suj_059,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,1.3,5.333333333333333,-1,-1,-1,Hombre,2,6,2400,-1,-1,-1,-1,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0.3333333333333333,-0.1666666666666666,0.0,SIN
Suj_060,Respuestas de formulario 5,ABC,Bloque_7,Bloque_SIN,1,Opción 2,0,1.4,4.5,1,1,1,Hombre,3,5,2400,1,1,1,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.0,0.0,-0.1666666666666666,SIN
Suj_062,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,2.6,4.166666666666667,-1,-1,1,Mujer,4,6,2400,-1,-1,1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_063,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 1,1,3.0,3.6666666666666665,1,1,0,Hombre,5,3,2400,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,SIN
Suj_064,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 1,1,3.7,4.0,1,-1,0,Hombre,5,8,2400,1,-1,0,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3333333333333333,-0.1666666666666666,0.3333333333333333,SIN
Suj_065,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,3.0,4.0,1,-1,1,Mujer,4,5,2400,1,-1,1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_066,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,2.6,5.166666666666667,1,1,1,Mujer,4,4,2400,1,1,1,1,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,0.1666666666666666,0.0,SIN
Suj_067,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,1.4,5.333333333333333,0,-1,-1,Hombre,3,6,2400,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
